,Unnamed: 0,texts,+,-,?,Communication,Quality,Price,Safety
0,4036,"15.03.2022 обратился на горячую линию для закрытия счет по кредиту и получения справки о закрытии и состоянии счетов на 21.12.2021. На горячей линии отказали в предоставлении справки с ответом, что необходимо обращаться в отделение банка… это все...",0.025124634,0.07620986,0.89866555,0.5339025,0.45363522,0.0059172143,0.006544905
1,5804,"Уже который год в ТКБ не решается ""глобальная проблема"" отправки банальной справки об остатке на счёте при запросе в приложении, веб версии и т.п. Только после 5 минут посылания ассисента Олега ""далёким адресом"", 10-15 минут ожидания ""живого...",0.0024195756,0.9673882,0.030192195,0.10015847,0.89871466,0.0007299272,0.000396903
2,2752,"Добрый день. Хочу оставить отзыв о пользовании дебетовой карты Тинькофф Блэк и о Тинькофф банк приложении. Пользуюсь данной картой уже длительное время, около 4 лет. Считаю ее одним из лучших предложений на рынке.  Расскажу о плюсах. Начну с...",0.7863771,0.03457407,0.17904891,0.14840803,0.77908736,0.062380116,0.010124529
3,1921,"Добрый день Сегодня, зайдя в свой личный кабинет я обнаружила, что из него пропала вся информация по всем моим счетам. А именно: текущему счету, накопительному и валютному. Я не вижу их, не могу совершить никакую операцию по счету. В чате...",0.035113927,0.88872683,0.07615924,0.45033488,0.54838175,0.0002453214,0.001037966
4,7374,"Обслуживаюсь в Тинькофф пару лет, возникла жесточайшая потребность в получении квалифицированного инвестора с возможной последующей покупкой акций акционерного общества. Не подходил по определенным параметрам под указанные критерии, однако...",0.01374907,0.95120853,0.03504235,0.4969906,0.47134146,0.022886608,0.008781328
5,2266,"В начале месяца прогремела новость о том, что начиная с 23го июня банк начнет снимать комиссию 12% годовых с валютных счетов. По этой причине у меня, как и у многих, возник вопрос о том, куда деньги перевести, чтобы сохранить. В то же время было...",0.014456172,0.8975597,0.08798415,0.21409562,0.7685138,0.013362418,0.0040280796
6,595,"Оставляю отзыв о работе персонального менеджера- Т-ч Никита.  Хочу отметить профессионализм индивидуальный подход и клиентоориентированность Никиты. Любой вопрос решает оперативно, если вопрос не может быть решён сразу , то контролирует сроки его...",0.054674033,0.9201306,0.025195342,0.52857023,0.47124723,2.1581525e-05,0.00016084798
7,3925,"После введенных ЦБ ограничений выдача наличных долларов осуществляется банком по заявке не менее чем за 20 дней. Заказывал наличные, банк выдал только $5000  - половину суммы, объяснив что остальные разрешенные Центральным Банком  к выдаче 5к можно...",0.024644408,0.60593855,0.36941698,0.171963,0.7691687,0.052418053,0.006450235
8,5729,"Захожу на сайт ВТБ, вхожу в личный кабинет, но не могу получить инфу о движении средств на карте... Жду 2 месяца, инфа не появляется... Пишу месяц назад жалобу, получаю оптимистический ответ: ""Мы работаем...Вот-вот решим проблему"".  Ага - месяц...",1.4778566e-05,0.9940771,0.0059080706,0.45499012,0.5410892,0.0018248693,0.0020958534
9,1606,"Банк замечательно и быстро выдает кредит- тут все налажено ( являюсь клиентом банка с 2008 года - знаю), но вот потом - вы для банка- никто и на ваши запросы можно не отвечать. Отвечают только тогда, когда желают. Это касается любого вопроса- как...",0.54475963,0.23376982,0.22147053,0.7265029,0.26769722,0.0017407051,0.004059189
10,7307,"Отвратительная работа банка. 1.10.21 мной была внесена самума в размере 39000 ₽ через банкомат в отделении Сбербанка, после того , как я внёс деньги банкомат издал странные звуки и выдал ошибку о неудачном внесении наличных, на счёт перечислил...",0.012217428,0.89360243,0.09418014,0.6030411,0.34627277,0.012368763,0.038317315
11,4147,"Когда открыл первое ИП для работы, выбрал Сбербанк, который на тот момент давал такие же условия на рынке, как и другие банки. Выбор остановил именно на Сбере потому что как то привычно было пользоваться этим банком. Брал у них кассу 2в1 за...",0.32207164,0.22744541,0.45048296,0.0938501,0.88162583,0.022859119,0.0016649595
12,2349,"Итак, погнали! Несколько лет я пользовался продуктами банка и не понимал почему такая дурная слава ходит. Но в этом году понял) В апреле с ""радостью"" обнаружил что после очередного платежа по кредитке закрылись лишние рассрочки(то есть...",0.013071184,0.81672907,0.17019972,0.41116837,0.53684366,0.02547572,0.026512237
13,1667,"11 июля на мою почту от ТБ поступило письмо о штрафе в 1000 руб ГИБДД. Я ждал неделю- может сотрудники ТБ ошибочно отправили и позвонят, но тщетно. 19 июля я обратился в ТП банка для получения ответа на вопросы:  Зачем  прислали это письмо?  На...",0.00023911384,0.5403399,0.45942104,0.8817439,0.10482975,0.002222208,0.011204216
14,4477,"Пользуюсь услугами банка больше 7 лет (2 разных карты, накопительные счета и тд.) и всегда сервис был на высоте, всем рекомендовала, что все четко и быстро решается. НО уже 3 (!) недели не могу получить с доставкой карты МИР, потому что в день...",0.95153266,0.017772375,0.030694999,0.051971775,0.9237325,0.023011794,0.0012840242
